Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other
20200923,MN,92100,44053,16426,14643,4948,769,131,1168,1551
20200923,RI,24177,6830,2230,8187,359,72,0,156,316
20200923,WA,83702,22399,3419,23950,2821,961,1442,1503,1160
20200920,CA,778400,91202,22921,328275,29647,1378,2938,5547,55702
20200920,MN,90017,42465,16290,14445,4848,745,130,1137,1539
20200920,RI,23620,6549,2187,7983,353,70,0,150,301
20200920,WA,82548,21944,3360,23739,2776,941,1419,1495,1156
20200916,CA,762963,88615,22345,318025,28773,1315,2874,5273,55644
20200916,MN,85813,39675,16024,14110,4691,699,126,1099,1461
20200916,RI,23358,6549,2187,7983,353,70,0,150,301
20200916,WA,80812,21483,3320,23442,2742,931,1420,1476,1148
20200913,CA,754923,87284,22091,313582,28330,1291,2842,5148,55387
20200913,MN,84311,38588,15900,13979,4627,688,127,1079,1439
20200913,RI,22905,6326,2126,7807,342,70,0,143,288
20200913,WA,79826,21221,3279,23269,2710,910,1402,1459,1142
20200909,CA,739527,84646,21434,303310,27335,1247,2778,4846,55456
20200909,RI,22676,6326,2126,7807,342,70,0,143,288
20200909,WA,78009,20520,3191,22890,2635,924,1455,1417,1131
20200906,CA,732144,83259,21102,297838,26887,1230,2748,4732,55302
20200906,WA,77235,20338,3175,22728,2618,910,1424,1411,1128
20200902,CA,712052,80166,20245,284716,25812,1174,2664,4377,55505
20200902,WA,75377,19966,3136,22318,2560,838,1318,1368,1108
20200830,CA,699909,78587,19874,279244,25300,1156,2624,4243,54940
20200830,WA,74320,19582,3063,22059,2502,831,1290,1344,1092
20200826,CA,679099,75578,19168,266430,24252,1075,2548,3949,54653
20200826,WA,72161,18955,2993,21525,2442,829,1252,1321,1084
20200823,CA,663669,73561,18651,260163,23584,1041,2498,3843,53280
20200823,WA,71012,18611,2923,21094,2402,812,1231,1295,1065
20200819,CA,638831,70517,17812,245505,22447,1003,2398,3592,52602
20200819,WA,68689,17968,2802,20475,2331,774,1190,1266,1037
20200816,CA,621562,68063,17130,235700,21537,960,2302,3397,51334
20200816,WA,67461,17400,2670,19869,2236,758,1164,1238,1021
